title_old,title_new,definition
Get the ball rolling,Get the ball rolling,"To set something, often a process, in motion; to begin. "
Long walk off a short pier,,
Bent out of shape,Bent out of shape,"1. Of a person, upset or angry. "
Rule the roost,Rule the roost,To be the real boss; to be the person in charge. 
Leave the table while you still have an appetite,,
Fair weather friend,Fair-weather friend,Someone who remains a friend only when things are going well but abandons others during times of trouble or difficulty. 
Jump the gun,Jump the gun,"To start something before it is permissible, appropriate, or advisable. The phrase alludes to starting to run in a foot race before the starting gun goes off. "
Show you the ropes,Show (one) the ropes,"To explain or demonstrate to one how to do or perform a job, task, or activity. "
Getting something under your belt,Get (something) under (one's) belt,1. To get something to eat or drink. 
Shit a brick,Shit a brick," To be very scared or nervous. The plural (""shit bricks"") is also commonly used. "
Balls to the wall,Balls to the wall,"With maximum effort, energy, or speed, and without caution or restraint. The phrase most likely originated as an aviation term, referring to the throttle levers of military aircraft (which have a rounded ball on top) being pushed to their maximum limit (i.e., to the bulkhead, or ""wall""). While it does not in fact refer to testicles, it should be used with caution because of this popular association. "
Deep dive,Deep dive,"A thorough analysis, perhaps one that seems excessive or unwarranted for a particular topic. "
Kick rocks,Kick rocks,An expression of disdain used to tell someone to go away or quit bothering one. 
Takes the cake,Take the cake,1. To be the worst in a series of negative actions. Primarily heard in US. 
Wrap it up,Wrap it up,1. To get to the point of what one is saying. Often used as an imperative. 
Cut some slack,Cut (one) some slack,To allow one more latitude or freedom than usual; to be more lenient with one. 
When shit hits the fan,(the) shit hits the fan," Things have become suddenly very chaotic, disastrous, difficult, or controversial. "
Under the sun,Under the sun,On earth; in existence. 
Gravy train,The gravy train,"A state, position, or job in which one makes an excessive amount of money without expending much or any effort. "
Hill i’m willing to die on,,
Let your hair down,Let (one's) hair down,"To cease acting formally or conservatively; to ignore or relinquish one's inhibitions or reservations. Also worded as ""let down (one's) hair."" "
Time to hang up your hat,,
Kick to the curb,Kick (someone or something) to the curb,"To discard, abandon, or dismiss someone or something that has become redundant, obsolete, useless, or unwanted. "
Clean slate,Clean slate,An opportunity to start fresh despite past mistakes or problems. 
On top of the world,On top of the world,Elated; blissfully or triumphantly happy. 
Cut me to the quick,Cut (one) to the quick,1. To slice a part of the body very deeply. 
Nothing to hang your hat on,,
Pull some strings,Pull (some/a few) strings,"To use the power or influence one has over others, especially people of importance, to get what one wants or to help someone else. "
Shit the bed,Shit the bed, To fail spectacularly or to a great degree. 
Another notch on your belt,,
Shits and giggles,Shits and giggles, Fun or amusement derived without any serious purpose or motivation. 
Neck and neck,Neck and neck,Extremely close together; at or near an equal level. Usually said of competitors in a race or competition. 
Get this show on the road,Get this show on the road,To promptly begin or get something started. 
Play it by ear,Play by ear,"1. To play a piece of music without referencing sheet music or a recording. In this usage, a noun or pronoun can be used between ""play"" and ""by ear."" "
Getting something off your chest,,
Staying in your own lane,,
Put it past someone,,
Trusting you as far as you can throw them,,
Closed mouths don’t get fed,,
Throw me a bone,Throw (one) a bone,To attempt to appease or placate someone by giving them something trivial or of minor importance or by doing some small favor for them. (A reference to giving a dog a bone or scrap from a bigger portion of food.) 
Not my cup of tea,Cup of tea,"1. Something one prefers, desires, enjoys, or cares about. Often used in the negative to mean the opposite. "
Spill the tea,Spill the tea," To share or reveal gossip. ""Tea"" is a slang term for gossip. "
Off the bat,Off the bat,In a trajectory caused by being hit by a bat. 
Pulling a rabbit out of a hat,Pull a rabbit out of a hat,"To do something surprising and seemingly impossible; to produce something in a way that has no obvious explanation, as if done by magic. A reference to the magician's trick of literally pulling a live rabbit out of a hat. "
Scratched the surface,Scratch,
Rub off on someone,Rub off,1. To come off (of something else) after being rubbed. 
Off the deep end,Off the deep end, Crazy or irrational. 
Toe to toe,Toe-to-toe,"A direct conflict between two people or groups, possibly in close quarters. "
By a hair,By a hair,"By an extremely short or slim margin (of distance, time, or another measure). "
Chip in,Chip in,"1. To contribute to something being undertaken by a group, such as a task or collection. "
The whole enchilada,The whole enchilada, Every part of a multifaceted thing or situation taken together as a whole; the whole thing. 
The whole kit and caboodle,The (whole) kit and caboodle,All the parts of a group of things. 
Flavor of the month,Flavor of the month,Someone or something very popular but only temporarily or ephemerally. The phrase is often used to describe fleeting romantic relationships. 
Sight for sore eyes,A sight for sore eyes," Someone or something that one is excited or overjoyed to see, often after a long absence or separation. "
In the pit of your stomach,,
Lump in your throat,Lump in (one's) throat,"An intense emotional reaction resulting in a sensation of tightness in the throat, as often precedes crying. "
Knock out of the park,Knock (something) out of the (ball)park,To do or perform something extraordinarily well; to produce or earn an exceptional achievement. An allusion to a baseball that is hit hard enough to land outside the stadium. 
On pins and needles,On pins and needles,Anxious and tense. (Likely an allusion to the tingling sensation that occurs when blood flow returns to a numb limb.) 
Chicken with its head cut off,Like a chicken with its head cut off,With great haste and in a careless or senseless manner. 
Over the hill,Over the hill,Past the peak of one's life or career; too old. Often hyphenated. 
Piece of cake,Piece of cake,A very easy task or accomplishment. 
Have a cow,Have a cow,"To get very upset about something, often more than is expected or warranted. "
Bum rush,Bum rush,To attack or barge into a person or place forcefully or violently. 
To die for,To die for,"Extremely attractive, enjoyable, or desirable. "
Blow your cover,Blow (one's) cover,"To expose one's true identity or motives after they had been intentionally concealed (i.e. after one had been ""undercover""). "
Don’t judge a fish by its ability to climb a tree,,
The devil is in the details,The devil is in the detail(s)," Plans, actions, or situations that seem sound must be carefully examined, because minor details can end up causing major, unforeseen problems. "
Cleanliness is next to godliness,Cleanliness is next to godliness, A phrase that strongly encourages and promotes neatness and personal hygiene. 
This town ain’t big enough for the two of us,,
Time for a gun fight,,
Pop you’re cherry,,
Get your rocks off,Get (one's) rocks off,1. 
Rock your socks off,,
Cool your jets,Cool (one's) jets,1. To calm oneself down; to become less agitated. 
Knee jerk reaction,Knee-jerk reaction,"Any spontaneous, reflexive, and unthinking reaction or response. "
Ruffle your feathers,Ruffle (one's) feathers,"To annoy, irritate, or upset someone. "
Turn over a new leaf,Turn over a new leaf,"To change one's behavior, usually in a positive way. "
Rounding the bend,,
Par for the course,Par for the course,"Normal, typical, or to be expected (especially when something is a source of annoyance or frustration). An allusion to golf, in which ""par"" is the number of strokes that it should take a player to get the ball into a particular hole on a golf course. "
Up in arms,Up in arms,"Very upset or angry about something. Likened to an armed rebellion, from which the phrase originated. "
With guns blazing,With (one's) guns blazing,"Forcefully and with all of one's energy and a strong sense of urgency or purpose, especially when directed at an argument or problem that has angered or frustrated one. "
Make heads or tails of it,,
Tits up,Tits up,"1. mildly vulgar Broken or malfunctioning; dead, falling apart, or ceasing to work. (""Tits up"" is sometimes hyphenated.) "
Sit on it,Sit on it,An exclamation of frustration directed at another person. Popularized by the TV show 
Sticking your foot in your mouth,,
Get off on the wrong foot,Get off on the wrong foot,To have a bad start. Said of something that goes or has gone awry at the very beginning. 
Bright eyed and bushy tailed,Bright-eyed and bushy-tailed,Energetic and enthusiastic. 
Squeezing the lemon,,
Bleeding the lizard,,
Choking the chicken,Choke the chicken, To masturbate. A term only applied to males. 
Beating the meat,Beat (one's) meat, To masturbate. A term only applied to males. 
Flicking the bean,,
Soften the blow,Soften the blow,To make the impact of something negative less harmful. 
Sitting pretty,Sit pretty,To be or remain in an ideal situation or advantageous position. 
Tasted grapes,,
Cloud 9,Cloud nine, 
Walking on sunshine,Walk on sunshine,To be in a state of euphoria. 
Putting in leg work,,
In the limelight,In the limelight,At the center of attention. The phrase refers to a type of lamp that was previously used in theatrical stage lighting. 
15 minutes of fame,15 minutes of fame,A brief period of celebrity or notoriety. The term was coined by artist Andy Warhol. 
Hit the bricks,Hit the bricks,"1. To depart, often on foot. "
End of the line,The end of the line,"1. The physical end of a route of travel, usually a bus or train route. "
In the thick of it,In the thick of it,Very busy; in the middle of or preoccupied with something or several things. 
Run of the mill,Run-of-the-mill,"Common, standard, or average; mediocre. "
Off the cuff,Off the cuff,Casually and spontaneously; without planning or preparation. Often hyphenated. 
Dark night of the soul,Poem and treatise of st. john of the cross,
Off the rails,Be off the rails,"1. To be in a state of chaos, dysfunction, or disorder. "
Living under a rock,Live under a rock,"To be oblivious to or ignorant of something that is very widely known, often related to pop culture. "
True measure of a man,,
To live in someone’s shadow,,
To never measure up,,
Golden goose,Golden goose,"A person, thing, or organization that is or has the potential to earn a lot of money for a long period of time. Taken from a folk tale of a goose that would lay a golden egg once a day, but which was killed by its owner because he wanted all of its gold at once. "
Beyond the pale,Beyond the pale,"Completely unacceptable or inappropriate. A ""pale"" is an area bounded by a fence. "
Revenge is a dish best served cold,Revenge is a dish best served cold.,"Revenge that takes place far in the future, after the offending party has forgotten how they wronged someone, is much more satisfying. "
Fall from grace,Fall from grace,"To fall out of favor, typically due to having done something that tarnishes one's reputation. "
This day in age,,
Do the honors,Do the honors,"To perform a task or duty of an official nature, often in a social setting. Sometimes used humorously. "
That tracks,,
Pull the trigger,Pull the trigger (on something),To make a final decision or commit to a certain course of action (about something). 
In the the chute,,
Down the hatch,Down the hatch,Down one's throat. This phrase is usually said before one drinks something (often something that has an especially foul or strong taste). 
Batten down the hatches,Batten down the hatches,"To prepare for a challenging situation. While this originated as a nautical phrase, it is now used for any sort of imminent problem. "
To not give two shits,,
Dog and pony show,Dog and pony show,An elaborately organized event used mainly for promotion or to drive sales. 
Throw your hat in the ring,Throw (one's) hat in(to) the ring,"To announce that one is going to be competing with others, especially in a political election. "
My enemy’s enemy is my friend,My enemy's enemy is my friend, A phrase highlighting how a common enemy can be a unifying force for otherwise disparate groups or people. 
Taking the high road,,
Have a falling out,A falling out,"A severe quarrel or disagreement, especially one that leads to a temporary or permanent end of a relationship. "
A broken record,,
A bridge too far,A bridge too far," An act or plan whose ambition overreaches its capability, resulting in or potentially leading to difficulty or failure. Taken from the 1974 book "
Think outside the box,Think outside (of) the box,"To think of something that is outside of or beyond what is considered usual, traditional, or conventional; to think innovatively. "
One fell swoop,One fell swoop,A single decisive or powerful action. 
Addressing the elephant in the room,,
Opening up pandora’s box,,
Pot of gold at the end of the rainbow,Pot of gold at the end of the rainbow,"The ultimate goal, reward, achievement, etc., at the end of a difficult or arduous process. "
Live off the fat of the land,Live off the fat of the land,"To live comfortably on a surplus of resources, without working very hard. "
Get a lay of the land,,
Get the juices flowing,,
Eye opening,Eye-opening,Causing or resulting in a shocking or startling revelation. 
Poking the bear,Poke the bear,"To intentionally irritate or bother someone, especially when doing so carries an obvious risk. "
Spin a web of lies,Spin a web of lies,"To create an intricate contrivance of misdirection, omission, or deception that ultimately serves to ensnare or entangle oneself or others. "
Coming out of your shell,Come out of (one's) shell,"To be or become less shy or reticent and more sociable, outgoing, or enthusiastic. "
Shedding your skin,,
Put some feelers out,,
Barrel of monkeys,Barrel of monkeys,"A group that is having fun and enjoying themselves. Often used in the phrase ""more fun than a barrel of monkeys."" "
Monkey see monkey do,"Monkey see, monkey do",1. Children naturally tend to imitate or copy what they see adults or other children doing. 
Getting your ass handed to you,,
Come full circle,Come full circle,"To return to the original or a similar position, situation, or circumstance where one or something started. "
High on the hog,High on the hog,"Ostentatiously. The phrase refers to the rich being able to afford the choicest cut of meat, which, from a pig, is higher up on the animal. "
Taking the words out of someone’s mouth,,
To be blown away,,
Setting the bar low,Set the bar (high/low),"To establish an expected, required, or desired standard of quality. (Often said of a standard that is constrictive in being either too low or too high). "
Game changer,Game-changer, That which dramatically or fundamentally alters a situation or the way in which something is done or thought about. 
Keep your eyes peeled,Keep (one's) eye(s) peeled (for someone or something),To remain vigilant or carefully watchful (for something or someone). 
Hell hath no fury like a woman’s scorn,,
Top notch,Top-notch,Stellar; excellent; the best. Can be used with or without a hyphen. 
Hit or miss,Hit or miss," Sometimes good or successful, sometimes not; having mixed or unpredictable results; random, aimless, careless, or haphazard. Often hyphenated. "
Shooting your shot,Shoot (one's) shot," To take the risk of making one's availability and interest known to others, as to a prospective employer or romantic partner. "
Hidden gem,Hidden gem,That which is of exceptional or underappreciated quality but is not especially popular or widely known. 
Too big for your britches,Too big for (one's) boots,"Overconfident in one's importance, skill, or authority; behaving as if one is more important or influential than one actually is. "
Get a big head,Get a big head,To become arrogant or conceited; to assume an exaggeratedly high opinion of oneself. 
Getting on your soap box,,
Preaching to the choir,Preach to the choir,To try to convince someone about something that they already support; to state one's opinion to those who are already most receptive to it. 
Had it up to here,,
Turn an burn,,
On a roll,On a roll,"Experiencing a particularly successful period, without any setbacks or low points. "
Short fuse,A short fuse,"A tendency to become angered, enraged, or upset very quickly or easily; a short temper. "
Hot headed,Hothead,"A person with an excitable, fiery, or impetuous temper or disposition; one who is quick to get angry or act rashly. "
Having a ring to it,,
Dropping the kids off at the pool,,
Bun in the oven,A bun in the oven, An unborn child growing in one's womb. 
Another face in the crowd,,
A fine line,A fine line,"A very narrow division between two deceptively similar things, one of which is worse than the other. "
Saving something for a rainy day,Save (something) for a rainy day,"To reserve something, especially money, for use in a time or period of unforeseen difficulty, trouble, or need. "
Shaking in your boots,Shake in (one's) boots,To tremble with fear. Often used sarcastically. 
Water water all around and not a drop to drink,,
Let your guard down,Let (one's) guard down,To become less guarded or vigilant; to stop being cautious about potential trouble or danger. 
Hole in the wall,Hole in the wall,"A small, inconspicuous place, often an establishment such a restaurant. The term sometimes but not always has a negative connotation implying a place that is perceived to be disreputable in some way. "
Pulling teeth,Pull teeth,"1. To do something that is especially difficult, tedious, or requires an extreme amount of effort; to do something in the most difficult or unpleasant way possible. "
Take a load off,Take a load off (one's feet),To sit down and rest one's feet; to relax. (Usually said as a suggestion.) 
Shit end of the stick,,
Tide me over,Tide (one) over,"To maintain, sustain, or support one through a lean or difficult time until more of something is acquired, especially food or money. "
By the skin of your teeth,By the skin of (one's) teeth,Barely. Often used to describe something that almost didn't happen. 
Ride on someone’s coattails,,
Shit rolls down hill,,
In a heartbeat,In a heartbeat,Very quickly; as soon as is possible. 
Calm before the storm,Calm before the storm,A period of inactivity or tranquility before something chaotic begins. Likened to a literal period of calm before a storm begins. 
Take by storm,"Take (someone, something, or some place) by storm","1. To conquer, seize, or lay siege to something, someone, or some place with a sudden and furious attack. "
Lift the veil,Lift the veil (on something),"To divulge, explain, or reveal something that was previously a secret. "
A feather in your cap,A feather in (one's) cap,An accomplishment or achievement that one takes pride in. 
Clear cut,Clear-cut,1. 
Head over heals,,
Going for broke,Go for broke,To give something one's full effort. 
Steal the show,Steal the show,"To become the main focus of attention or deliver the most captivating performance in the presence of one or more others, typically unexpectedly. "
In a nutshell,In a nutshell,In summary; concisely. 
Throw away the key,Lock (someone) up and throw away the key,To incarcerate someone in prison forever or indefinitely. 
In hog heaven,In hog heaven,In a state of extreme happiness. 
Joined at the hip,Joined at the hip," Always near or spending a lot of time with someone else, often a close friend. "
Over your head,Over (one's) head,1. Too complicated to be understood by one. 
In too deep,In too deep,Too involved in something to easily extract oneself or make reasonable decisions. 
Under the spotlight,Under the spotlight,The center of attention. 
Under a microscope,Under a microscope,Under close inspection or intense scrutiny. 
Tag team,Tag team,1. 
Break a leg,Break a leg,"A phrase of encouragement typically said to one who is about to perform before an audience, especially a theater actor. It is thought to be used due to the superstition that wishing one ""good luck"" will result in the opposite, but the exact origin of the phrase is unknown. "
Chips stacked against someone,,
Different animal,,
Apple of my eye,The apple of (one's) eye,A cherished or favored person. This phrase is thought to be Biblical in origin. 
Lift the lid,,
On the fly,On the fly,"Quickly and informally, without thought or preparation. "
Out of touch,Out of touch,1. Not in contact or communicating any longer; not aware of the news or status of someone or something. 
Get your knickers in a twist,Get (one's) knickers in a twist,"To become overly upset or emotional over something, especially that which is trivial or unimportant. "
Stake your claim,Stake (one's) claim,To assert one's ownership of or right to something. 
Hold a candle,Hold a candle to (someone or something),To compare to someone or something; to be as good or desirable as someone or something. Often used in the negative to mean the opposite. 
Bought the farm,Bought the farm,Died. 
Cliff hanger,Cliffhanger,"1. An ending of a piece of fiction (e.g., a television episode, chapter of a book, a film, etc.) characterized by a dramatically suspenseful and uncertain end. "
Out of the loop,Out of the loop,Not privy to the most up-to-date information. 
Snap out of it,Snap out of (something),"To suddenly recover or be freed from some negative or undesirable condition, emotion, or situation. "
Parse out,Parse out,"To make sense of or find meaning in something. A noun or pronoun can be used between ""parse"" and ""out."" "
Pan out,Pan out,1. To conclude in a successful or pleasing manner; to work out. 
Back to brunch,,
Down the drain,Down the drain,1. In a state of failure or ruination. 
Kiss of death,Kiss of death,"An action, event, or association that causes inevitable ruin or failure. An allusion to Judas Iscariot's betrayal of Jesus Christ, during which Judas kissed Jesus as a way of identifying him to those who would put him to death. "
Bees knees,Be the bee's knees,"To be exceptionally great, excellent, or high-quality. "
Fly off the handle,Fly off the handle,To become uncontrollably angry; to lose control of one's temper. 
Let loose,Let (someone or something) loose,"To make free or give up control of something or someone; to release or discharge something or someone, as from confinement. "
Come to grips,,
From the ground up,From the ground up,From the first step through to completion; entirely. 
I’ll be a monkeys uncle,,
Rally the troops,Rally the troops,"To call others together to join with or lend support to someone or something. An allusion to reassembling dispersed soldiers (""troops""). Usually used as an imperative. "
Off the charts,Off the charts,1. Quite a lot more or better than is usual or was expected. 
Pain in the ass,Pain in the ass," An especially irritating, aggravating, or obnoxious person, thing, or situation. Primarily heard in US. "
Bases are covered,,
Next level,Next-level,Especially good or advanced. 
Read the fine print,Read the fine print,"To make oneself aware of the specific terms, conditions, restrictions, limitations, etc., of an agreement, contract, or other document, which are often printed in very small type and thus easy to miss. "
The jury is out,The jury is (still) out,A decision has not yet been made. 
Breaking the seal,,
Going all in,,
Upping the ante,Up the ante,1. To raise the stakes in a betting game. 
Tipping point,Tipping point,"A critical or pivotal point in a situation or process at which some small or singular influence acts as a catalyst for a broader, more dramatic, or irreversible change. "
Ace in the hole,Ace in the hole," A major advantage that one keeps hidden until an ideal time. The phrase originated in poker, in which an ace is the most valuable card. Primarily heard in UK. "
Easter egg,Easter egg,
At a crossroad,,
Selling your soul to the devil,Sell (one's) soul (to the devil),"To abandon one's values or morals in return for some highly desired benefit, typically success, power, wealth, etc. "
Head to head,Head-to-head,Describing a one-on-one matchup or comparison. 
Hand to hand,Hand to hand,Involving or characterized by people in close proximity to one another. Hyphenated if used as a modifier before a noun. 
Blow it to kingdom come,Blow (someone or something) to kingdom come,1. 
Fountain of youth,Fountain of youth,"Anything reputed or promising to restore one's youth, vitality, or health, or at least the appearance thereof. "
Head in the clouds,Head in the clouds," Impractical, aloof, or fanciful to the point of being very unhelpful or counterproductive. "
Rein it in,,
To no avail,To no avail,"Having or with very little benefit, efficacy, or effect. "
Wrap your mind around it,,
Fork in the road,Fork in the road,"1. Literally, the point at which one road splits or separates off into other roads. "
Fill someone in,Fill in,"1. To provide information or details, usually by actually writing something in a blank space on a test, form, etc. In this usage, a noun or pronoun can be used between ""fill"" and ""in."" "
Put it on the back burner,Put (something) on the back burner,"To establish something as being a low priority; to give something less or little thought or attention; to postpone, suspend, or hold off on doing something. "
Trickle in,Trickle in,"1. Of a liquid, to flow or seep in(to something) in drops or a thin stream. "
Last man standing,The last man/woman/person standing,"The final person who endures or emerges victorious from some situation, activity, or pursuit in which others are eliminated. "
Put a cork in it,Put a cork in it,To stop talking and be quiet. Usually used as an imperative. 
Bottled up,Bottle up,"1. Literally, to put and store inside a bottle. A noun or pronoun can be used between ""bottle"" and ""up."" "
Man of the hour,(the) man/woman of the hour,"A person currently being celebrated, honored, or admired by others, especially for a recent victory, accomplishment, or other cause for celebration. "
Start off on the right foot,Start off on the right foot,To have a positive or favorable start. 
End on a good note,,
Scratching my head,,
Mind’s eye,In (one's) mind's eye,"In one's imagination or mind, especially referring to something that is being visualized. "
Going to town,Go to town,1. To act with great energy and/or enthusiasm. 
Blow your load,Blow (one's) load,1. To lose or spend all of one's money. 
Give it a shot,Give it a shot,To try something (often for the first time as a means of forming an opinion about it). 
Shake it off,Shake off,"1. To rid or free oneself from someone or something that one finds aggravating, upsetting, or annoying. A noun or pronoun can be used between ""shake"" and ""off."" "
Shake a leg,,
Take something off your plate,,
Leave you hanging,Leave (one) hanging,1. To withhold information from one when it is expected to be delivered. 
If wishes were horses then beggars would ride,"If wishes were horses, (then) beggars would ride"," One must work for the things one wants, not merely wish for them to come true; wishing for something won't make it happen. "
Dead in the water,Dead in the water,Completely defunct. 
Shake your tail feathers,Shake (one's) tail feather," To dance, especially by moving one's buttocks along to the beat. "
Egg on your face,Egg on (one's) face,"The embarrassment that results from a failure or faux pas. Typically used in the phrase ""have egg on (one's) face."" "
Get a bee in your bonnet,,
Reaching the end of your rope,Reach the end of (one's) rope,"To be completely worn out, exasperated, or exhausted; to have no more patience, endurance, or energy left. "
Bring something to the table,Bring (something) to the table,"To provide or offer a useful skill or attribute to a shared task, activity, or endeavor. "
Give someone lip,,
Out of the blue,Out of the blue,Completely unexpectedly. 
Night and day,Night and day,1. All the time; continuously. 
If you build it they will come,,
Ride it out,Ride out,1. To travel to or from a place on a vehicle or animal. 
Going to the end of the earth,,
Blood on your hands,,
Stick it to the man,Stick it to the man,"To show resistance to or fight back against the established doctrines of a person or body of authority, especially the government. "
Pull the plug,Pull the plug (on someone or something),"1. Literally, to discontinue the power supply for a device by removing its power cable from the socket. "
Pushing someone’s buttons,Push (one's) buttons,"1. To do things that create a very strong emotional reaction in one, especially anger, irritation, or exasperation. "
Go wherever the wind takes you,,
Loose cannon,Loose cannon,Someone who has the propensity to act unpredictably or to lose their temper very quickly. 
Being in someone’s corner,,
Taking the piss,Take the piss (out of) (someone or something),"To tease, mock, or ridicule (someone or something); to joke or kid around (about someone or something). Primarily heard in UK, Ireland. "
To be on fire,,
Clap back,Clap back,1. 
Sound the alarm,Sound the alarm,"1. Literally, to activate an alarm. "
Count your blessings,Count (one's) blessings,To reflect on the good things in one's life and be grateful for them. 
Bag of tricks,Bag of tricks,1. The items that one has available for use. The phrase originally referred to the items a magician would use for magic tricks. 
Go out on a limb,Go out on a limb,To do or say something that lacks evidence or support. 
Glass ceiling,Glass ceiling,"The systemic discrimination (likened to an invisible barrier) against certain groups in the workplace, especially women, that prevents them from advancing. "
The powder trail is lit,,
Under the hood,Under the hood,"[hot-rodder talk] 1. The underlying implementation of a product (hardware, software, or idea).  Implies that the implementation is not intuitively obvious from the appearance, but the speaker is about to enable the listener to "
Chip away at something,,
Take a stab at something,A try (at something),A chance or opportunity to do or attempt something. 
Plant the seed,Plant the seeds (of something),"1. To do something that ensures a certain outcome in the future, especially an unfortunate or tragic one. "
Hit the ground running,Hit the ground running,To begin something energetically and successfully. 
Bite the dust,Bite the dust,
Pull it off,Pull off,"1. To forcibly remove something (from or off something else). In this usage, a noun or pronoun can be used between ""pull"" and ""off."" "
Get under your skin,Get under (one's) skin,1. To become a source of irritation. 
Across the board,Across the board,Applying to or impacting every part or individual in a group or spectrum of things. 
Take something and run with it,,
Come to terms,Come to terms,"1. To agree to or do something, especially a set of demands or conditions. "
Setting the stage,Set the stage for (something),"1. Literally, to prepare and decorate a stage for something, such as a performance. "
Put someone on blast,Put (one) on blast,"To publicly attack, scold, shame, or mock one, typically on social media. "
In the ballpark,In the ballpark,"Close to something specific, often a cost or amount. "
Lean into it,Lean into (someone or something),1. To push into or press against someone or something. 
Change of heart,A change of heart,A change in one's opinion or feelings on a matter. 
Weed out,Weed out,"To remove one or multiple undesirable people or things from a group. A noun or pronoun can be used between ""weed"" and ""out."" "
Thinning the herd,,
Send someone for a loop,,
Keep in touch,Keep in touch,"1. To maintain contact with another person, especially at intervals so as to remain up to date with each other's lives. "
On the same/different level,,
Match made in heaven,A match made in heaven,An extremely well-suited pairing of people or things; a match that will result in a particularly positive or successful outcome. 
Bottom line,The bottom line,"1. Literally, the final figure on a statement showing a person or company's total profit or loss. "
Hand in glove,Hand in glove,In close association or collaboration (with someone or something). 
Wind down/wind up,,
Ramping up,Ramp up,"To increase. A noun or pronoun can be used between ""ramp"" and ""up."" "
To piggyback off of something,Piggyback off (of) (something),To use something said or done by someone else as the foundation for one's own actions. 
Thread the needle,Thread the needle,
Chicken out,Chicken out, To refuse to do something due to fear (real or perceived). 
Lose your head,Lose (one's) head,To lose one's composure and act emotionally or irrationally. 
Run it up the flagpole,Run it up the flagpole (and see who salutes), To test out an idea in order to gauge interest or gain feedback. 
Another nail in the coffin,Another nail in the coffin,Another negative event or action that contributes to one's downfall or to something's failure. 
Hit rock bottom,Hit rock bottom,The reach the lowest or worst point of a decline. 
Eagle eye,Eagle eye,"1. Excellent eyesight, especially for something in particular. "
Out of left field,Out of left field,"Uncommon, unpopular, or otherwise strange. "
Half cocked,Half-cocked,"1. Prematurely, impulsively, or rashly. "
Heart to heart,Heart-to-heart,
Sitting duck,Sitting duck,A person or thing that is vulnerable to or unprotected from attack; an easy target. 
Sticking your neck out for someone,,
Clear the air,Clear the air,1. To remove or improve stale air or an unpleasant odor. 
Put a sock in it,Put a sock in it, To stop talking. Often used as an imperative. 
To put your im finger on something,,
Have your finger on the pulse,Have (one's) finger on the pulse,To be very aware of current trends and happenings in a particular place. 
Buckle down,Buckle down,"1. To anchor or fasten something or someone in place. In this usage, a noun or pronoun can be used between ""buckle"" and ""down."" "
Blow over,Blow over,"1. Literally, of the wind, to topple something or blow it to the ground. In this usage, a noun or pronoun can be used between ""blow"" and ""over."" "
Work yourself into a lather,Work (oneself) into a lather,"To become very nervous, distressed, or upset. "
Ham it up,Ham it up,"To act in an exaggerated way, typically in order to be funny. "
Be my guest,Be my guest, Used to express encouragement or allowance for someone else to take action. 
Blow it out of the water,Blow (someone or something) out of the water,1. To totally defeat or ruin someone or something. The image refers to the explosion of a ship that has been hit by enemy fire. 
To sink in,Sink in,"1. To penetrate, absorb, or soak in (to something). "
When something goes pear shaped,,
I’ll fall on that sword,,
Sleep with one eye open,Sleep with one eye open,"To stay awake or sleep very lightly so as to remain very wary, cautious, or alert. "
Get back in the saddle,,
Fired up,(all) fired up,Feeling very excited or passionate about something. 
Bobs your uncle,,
Rub someone the wrong way,Rub (one) the wrong way,"To irritate one due to someone's or something's presence, nature, or habitual behavior (as opposed to directly and intentionally). Primarily heard in US. "
To yank someone’s chain,,
Something in the wind,Something in the wind,"Something rumored, anticipated, or intuited to happen or take place. "
Keep the train rolling,,
Get your head in the game,Get (one's) head in the game,1. To focus on and put one's best effort into the athletic match currently underway. 
Being on the ball,,
Back against the wall,Back to the wall,In a bad or high-pressure situation in which one's choice or ability to act is limited. 
Backed into a corner,Be backed into a corner,To be forced into a difficult or unpleasant situation that one cannot easily resolve or escape. 
Smuggling plums,,
Get to the bottom of some thing,,
Bottom of the totem pole,,
Buckle up,Buckle up,"1. To anchor or fasten something or someone in place. In this usage, a noun or pronoun can be used between ""buckle"" and ""up."" "
Scratches that same itch,,
Flying off the shelf,,
Off to the races,Off to the races,1. Departing for something. 
Grind my gears,Grind (someone's) gears,To greatly or specifically irritate or annoy someone. 
Locked and loaded,Locked and loaded,1. Loaded with ammunition and prepared to be fired. 
Cut and dried,Cut and dried,"Prearranged, unchangeable, and dull. When it appears before a noun, the phrase is usually hyphenated. "
Slip through the cracks,Slip through the cracks,"To go unnoticed or undealt with; to be unintentionally neglected or ignored, especially in a corporate, political, or social system. "
Close a chapter,,
Knock out,Knock (oneself) out,1. Expend a lot of one's energy or try very hard (doing something). The image is of working so hard as to become unconscious. 
Take it on the chin,Take (something) on the chin,"1. Literally, to receive an impact, especially a punch, on one's chin. "
Dig your own grave,Dig (one's) own grave,To do something that has or will have negative consequences that are easily able to be foreseen. 
Put it all on the line,Put it all on the line,To put forth one's maximum amount of energy or effort; to make use of all of one's resources or abilities. 
Over the top,Over the top,"1. Beyond a certain limit, threshold, goal, or quota. "
Touch base,Touch base (with someone),To contact someone to update them or receive an update from them. 
Within an inch of life,Within an inch of (one's) life,"Very soundly or thoroughly, to or as if to the point of near death. "
Picking your brain,Pick (one's) brain(s),To ask one questions in order to obtain detailed information or advice. 
