title_old,title_new,definition," day"," owner"
Up shit creek without a paddle,Up shit creek (without a paddle),"In a challenging or troublesome situation, especially one that cannot be easily resolved. ","2023-07-19","miles"
Even the Mona Lisa is falling apart,,,"2023-07-19","Eve"
Diamonds are made under pressure but not over night,,,"2023-07-19","Eve"
"Men are from mars, women are from Venus",,,"2023-07-19","Eve"
Reopen an old wound,,,"2023-07-19","Miles"
Pour salt in the wound and expect it to heal,,,"2023-07-19","Eve"
Swimming with the fishes,Be swimming with the fishes,"To be murdered and have one's body disposed of in a river, lake, or ocean. (A less common variant of ""be sleeping with the fishes."") ","2023-07-19","Miles"
Light at the end of the tunnel,Light at the end of the tunnel,"A sign that something difficult or unpleasant is almost at an end. ","2023-07-19","Miles"
Pride is a cold bedfellow,,,"2023-07-19","Eve"
Cut off the head and the body will die,,,"2023-07-19","Eve"
The little dutch boy with his finger in the dike,,,"2023-07-19","Eve"
A hard pill to swallow,A hard pill to swallow,"Something, especially a fact or piece of news, that is unpleasant or difficult but which is unavoidable or must be accepted. ","2023-07-19","Miles"
Nothing left to do but bite the bullet,,,"2023-07-19","Eve"
Bring home the bacon,Bring home the bacon,"To earn money, as from steady employment. The phrase may originate from the fairground contest in which participants try to catch a greased pig in order to win it. ","2023-07-19",
Butter your bread on both sides,Butter (one's) bread on both sides,"To benefit or profit from two or more separate and often contradictory or incompatible things or sources. ","2023-07-19","Eve"
Slap my ass and call me Sally,,,"2023-07-19","Eve"
The bigger the pants the deeper the pockets,,,"2023-07-19","Eve"
Ask me your questions I’ll tell you my lies,,,"2023-07-19","Eve"
In the belly of the beast,In the belly of the beast,"Within the worst, most central area or part of something deeply unpleasant or malicious. ","2023-07-19","Miles"
Wild goose chase,Wild goose chase,"A prolonged or chaotic search for something that is difficult to find (often because it does not exist). ","2023-07-19","Miles"
Jack of all trades,Jack of all trades,"A person who is skilled in many different areas. ","2023-07-19","Miles"
Cut the mustard,Cut the mustard,,"2023-07-19","Miles"
Don’t pull the wool over my eyes,,,"2023-07-19","Miles"
Shoot yourself in the foot,Shoot (oneself) in the foot,"To damage or impede one's own plans, progress, or actions through foolish actions or words. ","2023-07-19","Miles"
Salad days,Salad days,"A youthful, carefree time of innocence and inexperience. The phrase comes from a line in Shakespeare's ","2023-07-19","Miles"
Bone to pick,A bone to pick,"An issue to discuss—typically one that is a source of annoyance for the speaker. ","2023-07-19","Miles"
Bigger fish to fry,Bigger fish to fry,"More important matters to deal with. ","2023-07-19","Miles"
Herding cats,Be like herding cats,"To be very unwieldy or unmanageable; to be nearly impossible to organize. Usually said of a group of people. ","2023-07-20","Eve"
Taste of your own medicine,A taste of (one's) own medicine,"An experience of the same harmful or unpleasant thing that one has inflicted on others; an attack in the same manner in which one attacks others. ","2023-07-20",
March to the best of your own drum,,,"2023-07-20",
Cross your heart and hope to die,,,"2023-07-20",
Scraping the bottom of the barrel,Scrape the bottom of the barrel,"To use or select from the last or worst of the resources or options from a particular range or set, even if they are not satisfactory, because there are no others to choose from. ","2023-07-20",
Gift that keeps on giving,The gift that keeps on giving,"Something that continues to have a payoff, consequences, or other such impact. ","2023-07-20",
Let me sleep on it,,,"2023-07-20",
Don’t sleep on it,,,"2023-07-20",
Down the rabbit hole,Down a/the rabbit hole,"In a situation, process, or journey that is particularly strange, problematic, difficult, complex, or chaotic, especially one that becomes increasingly so as it develops or unfolds. (An allusion to ","2023-07-20",
Level the playing field,Level the playing field,"To make a situation or activity more fair and balanced by giving an extra advantage or opportunity to those who would normally be at a disadvantage, or by attempting to take away or diminish advantages, perhaps of one's adversary or competitor. ","2023-07-20",
Your ass is grass,(one's) ass is grass,,"2023-07-20",
Don’t shoot the messenger,Don't shoot the messenger,"Don't get angry at or punish someone who is simply delivering bad or undesirable news as they are not responsible for it. ","2023-07-20",
Don’t hate the player hate the game,"Don't hate the player, hate the game","You should hate a system or situation rather than the people involved in it. ","2023-07-20",
Bucket list,Bucket list,"A list of accomplishments or tasks one hopes to do or achieve before one dies. ""Bucket"" here is taken from the phrase ""kick the bucket,"" meaning to die. ","2023-07-20",
Partner in crime,Partner in crime,"One who aids or accompanies someone in crimes or nefarious actions. ","2023-07-20",
Anyway you slice it,,,"2023-07-20",
All is fair in love and war,All is fair in love and war,"Otherwise questionable actions are acceptable under extenuating circumstances. Often written as ""all's fair in love and war."" ","2023-07-20",
Above my pay grade,Above (one's) pay grade,"The responsibility of those who are of a higher authority than oneself, denoted by the level of pay that one receives in comparison to one's superiors. ","2023-07-20",
Not on my dime,,,"2023-07-20",
Light in the loafers,Light in the loafers,"pejorative Homosexual, especially of men. ","2023-07-20",
Rubbing elbows,Rub elbows,"To interact or mingle with a person or group. ","2023-07-20",
Beating around the bush,Beat around the bush,"To speak vaguely or euphemistically so as to avoid talking directly about an unpleasant or sensitive topic. Primarily heard in US. ","2023-07-20",
Keep your friends close and your enemies closer,Keep your friends close and your enemies closer,"Be very aware of your enemies' behavior in order to detect and avoid any malicious actions. ","2023-07-20",
Keep your eyes on the prize,Keep your eye(s) on the prize,"To remain focused on a particular goal or award, especially when the path to it is long or arduous. ","2023-07-20",
Under the radar,Under (the/one's) radar,"Without being noticed, detected, or addressed. ","2023-07-20",
Take under your wing,,,"2023-07-20",
Straw that broke the camel’s back,The straw that breaks the camel's back,"A seemingly small or inconsequential issue, problem, or burden that proves to be the final catalyst in causing an overworked or overburdened person, system, organization, etc., to fail, give up, or collapse. ","2023-07-20",
Late in the game,Late in the game,"At a late point in some situation, development, activity, etc. Likened to an athletic game or match. ","2023-07-20",
Last straw,The last straw,"The final problem, setback, or source of irritation in a series that causes one to finally lose patience or for something to stop working. A shortening of the proverb ""it is the last straw that breaks the camel's back."" ","2023-07-20",
Connect the dots,Connect the dots,"Literally, to draw a line between dots, often as part of a children's activity to create an illustration or design. ","2023-07-20",
Dancing with the devil,,,"2023-07-20",
When push comes to shove,If push comes to shove,"If the situation deteriorates or becomes desperate; if drastic measures are needed. ","2023-07-20",
Been around the block,Been around (the block),"To have experience, either in a particular area or in one's life overall. ","2023-07-20",
Eye for an eye,Eye for an eye (and a tooth for a tooth).,"If someone hurts you, you should punish the offender by hurting him or her in the same way. (An ancient principle of justice going back to biblical times.) ","2023-07-20",
Eyes in the back of your head,Eyes in the back of (one's) head,"The ability to detect what is going on all around one, even beyond one's field of vision. ","2023-07-20",
In the clear,In the clear,"Deemed innocent or able to avoid blame for some crime or misdeed. ","2023-07-20",
Cold turkey,Cold turkey,"The abrupt cessation of something (most often the use of a drug). ","2023-07-20",
We’re gonna need a bigger boat,,,"2023-07-20",
It’s all greek to me,(it's) (all) greek to me,"This might as well be a foreign language, because I don't understand it at all. The phrase comes from Shakespeare's play ","2023-07-20",
How do you like them apples,How do you like them apples,"A phrase used to draw attention to one's cleverness or superiority to the one being addressed, especially after a recent triumph. ","2023-07-20",
Break the mold,Break the mold,"To do something in a new way. ","2023-07-20",
Worth your weight in salt,,,"2023-07-20",
Turn on a dime,Turn on a dime,"To turn very quickly and with great agility. ","2023-07-20",
Hold down the fort,Hold (down) the fort,"To maintain the proper functioning or order of some situation or place, typically during someone's absence. ","2023-07-20",
I’m all ears,I'm all ears,"I'm ready and eager to hear what you have to say. ","2023-07-23","Miles"
Bend over backwards,Bend over backward(s),"To exert a lot of effort towards some end. This phrase is often used to express frustration when one's efforts go unrecognized. ","2023-07-23",
Wrapped around their little finger,,,"2023-07-17","Eve"
No spring chicken,No spring chicken,"No longer young or youthful. (A ""spring chicken"" refers to a young chicken.) ","2023-07-23","Eve"
Counting sheep,Count sheep,"To perform any repetitive or monotonous thought exercise as a means of calming the mind to try to fall asleep (such as the traditional sleep aid of counting imaginary sheep). ","2023-07-23","Eve"
Leg up in life,,,"2023-07-23","Eve"
Put your pants on one leg at a time,Put (one's) pants on one leg at a time (just like everybody else),"To be an ordinary human being; to go through life like everyone else. (Used especially in reference to someone who is of an elevated social status, such as a celebrity, star athlete, member of royalty, etc. Variations of ""everybody else"" are also often used, such as ""the rest of us,"" ""you and me,"" ""ordinary people,"" and so on.) Primarily heard in Australia. ","2023-07-23","Eve"
Boots on the ground,Boots on the ground,"Soldiers who are on active duty and physically present during a combat operation. ","2023-07-23","Eve"
Down to the nitty gritty,,,"2023-07-23","Eve"
Knock on wood,Knock on wood,"A superstitious expression said, typically in combination with actually touching or knocking on a wooden object or surface, when one desires something positive to continue, lest the mention of it ""jinx"" or somehow reverse one's good fortune. ","2023-07-23",
Salt of the earth,The salt of the earth,"A person or group that is regarded as genuine, unpretentious, and morally sound. This phrase is typically complimentary. ","2023-07-23",
Under the weather,Under the weather,"Mildly ill. ","2023-07-23",
Fly in in the ointment,,,"2023-07-23",
Nothing to write home about,Nothing to write home about,"Not especially impressive, remarkable, or noteworthy; rather dull, mediocre, uninteresting, or unimportant. ","2023-07-23",
A hired gun,,,"2023-07-23",
Dropped the ball,Drop the ball,"To make a mistake. ","2023-07-23",
Bury the hatchet,Bury the hatchet,"To make peace with someone. ","2023-07-23",
Open the floodgates,Open the floodgates,"To allow for an expanding number of (typically negative) consequences as the result of another related action. ","2023-07-23",
See a man about a horse,See a man about a horse,"To leave somewhere without explaining where one is going, but usually used as an obvious euphemism for going to the toilet or getting an alcoholic drink. ","2023-07-23",
Taken with a grain of salt,Take (something) with a grain of salt,"To consider or evaluate something, such as a statement, with the understanding that it may not be completely true or accurate, typically due to the unreliability of the source. ","2023-07-23",
Trust you as far as i can throw you,,,"2023-07-23",
You made your bed now you got to lay in it,,,"2023-07-23",
Rolling with the punches,Roll with the punches,"Literally, in martial arts (especially boxing), to maneuver one's body away from a blow so as to lessen the force of the impact. ","2023-07-23",
Two way street,Two-way street,"A situation in which both sides must put forth an equal amount of effort to achieve a desired result. ","2023-07-24","Eve"
Double down,Double down,"In blackjack, to double one's wager after seeing one's initial hand of cards, with only one more card allowed to be drawn afterward. ","2023-07-23","Eve"
Stand your ground,Stand (one's) ground,"1. To brace oneself and maintain one's position during or when anticipating an attack. ","2023-07-23","Eve"
Dust your shoulders off,,,"2023-07-23","Eve"
Blowing steam,,,"2023-07-24","Miles"
Thrown to the wolves,Wolf,,"2023-07-24","Eve"
Throw under the bus,Throw (one) under the bus,"To exploit one's trust for an ulterior purpose, advantage, or agenda; to harm one through deceit or treachery. ","2023-07-24","Eve"
Raised by wolves,Raised by wolves,"Of or describing someone who seems particularly uncouth or socially inept. ","2023-07-24","Eve"
Leaving a trail of breadcrumbs,,,"2023-07-24","Eve"
Get with the program,Get with the program,"To conform or fall in line with what is expected. ","2023-07-24","Miles"
Water under the bridge,Water under the bridge,"A prior issue that is now resolved or considered resolved. ","2023-07-24",
Shit or get off the pot,Shit or get off the pot," Either commit to doing something productive or step aside and stop wasting time. ","2023-07-24",
On the shoulders with of giants,,,"2023-07-25","Eve"
Pull out all the stops,Pull out all the stops,"To do something with maximum effort or ability; to use all or the best available resources when doing something. ","2023-07-24","Eve"
Steal their thunder,Steal (one's) thunder,"To garner the attention or praise that one had been expecting or receiving for some accomplishment, announcement, etc. ","2023-07-24","Eve"
Wash your hands of the whole affair,,,"2023-07-24","Eve"
Break the bank,Break the bank,"To be very expensive. The phrase is often used in the negative to convey the opposite. ","2023-07-25",
Speak of the devil and he shall appear,"Speak of the devil, and he shall appear","An acknowledgment of a person who has arrived just as or after they were being discussed. ","2023-07-25",
Curiosity killed the cat but satisfaction brought it back,,,"2023-07-25",
Wake up and smell the coffee,Wake up and smell the coffee,"Pay attention to what is happening. ","2023-07-25",
You can’t put the toothpaste back in the tube,Put the toothpaste back in the tube,"To attempt to revert a situation to how it formerly existed by containing, limiting, or repressing information, ideas, advancements, etc., that have become commonplace or public knowledge. Almost always used in the negative to denote the impossibility of such an attempt. ","2023-07-25",
A pictures worth a 1000 words,,,"2023-07-25",
Doing the lord’s work,,,"2023-07-25",
When small men cast long shadows the day is almost over,,,"2023-07-25",
Meat and potatoes,Meat-and-potatoes,"Concerned with or pertaining to the most basic or fundamental aspects of something. ","2023-07-25",
Beating your head against the wall,Beat (one's) head against a/the wall,"To attempt continuously and fruitlessly to accomplish some task or achieve some goal that is or seems ultimately hopeless. ","2023-07-25",
Barking up the wrong tree,Bark up the wrong tree,"To attempt or pursue a futile course of action, often by making some kind of suggestion or request. ","2023-07-25",
Falling on deaf ears,Fall on deaf ears,"To be ignored. ","2023-07-25",
Don’t ask how the sausage is made,,,"2023-07-25",
The emperor’s new clothes,The emperor's new clothes,"Something widely accepted as true or professed as being praiseworthy due to an unwillingness of the general population to criticize it or be seen as going against popular opinion. Taken from the Hans Christian Andersen fable of the same name, in which a vain king is sold imaginary clothing (i.e., nothing at all) by two weavers who promise him that it is visible only to the wise and cannot be seen by those who are ignorant, incompetent, or unfit for their position. ","2023-07-25",
Kick into gear,,,"2023-07-25",
Shooting the shit,Shoot the shit,"To chat or converse aimlessly or casually, without any serious topic of conversation. ","2023-07-25",
Something’s rotten in denmark,Something is rotten in (the state of) denmark,"Something strange or suspicious is going on. The line comes from Shakespeare's ","2023-07-26","Eve"
Exit stage left,Exit stage left,"An allusion to stage directions in theater, indicating when (and where) an actor should leave the stage from a scene.","2023-07-26","Miles"
Waiting for the dust to settle,Wait for the dust to settle,"To wait until a disturbance or commotion has lessened or been resolved. ","2023-07-26","Miles"
Throw dust in your eyes,Throw dust in (one's) eyes,"To mislead or deceive one by presenting or introducing distracting or obfuscating information. ","2023-07-26","Eve"
Achilles heel,Achilles' heel,"A weakness or vulnerability that can lead to permanent destruction or downfall. In Greek mythology, the hero Achilles was killed after being struck in the heel—the only weak spot on his body. ","2023-07-26","Miles"
A chain is only as strong as it’s weakest link,,,"2023-07-26","Miles"
A chink in the armor,Chink in (one's)/the armor,"A minor but very detrimental flaw or weakness. ","2023-07-26","Eve"
Missing link,Missing link,"A hypothetical extinct animal that is believed to be the evolutionary connection between man and ape. ","2023-07-26","Miles"
Changing gears,Change gear,"Literally, to switch a car, bicycle, or other vehicle into a different gear. ","2023-07-27","Matt"
When you hear hoofbeats think horses not zebras,"When you hear hoofbeats, think horses, not zebras.","The simplest, most common, or most obvious explanation for something is most likely the correct one. Used especially in relation to medical diagnoses. ","2023-07-27","Matt"
In over your head,In over (one's) head,"Too deeply involved in or with a difficult situation, beyond the point of being able to control or cope any longer. ","2023-07-27",
Plenty of fish in the sea,There are plenty of (other) fish in the sea,"There are many other excellent or more suitable people, things, opportunities, or possibilities in the world that one may find. Said especially when one has recently been unlucky, unsuccessful, or has broken up with a romantic partner. ","2023-07-27",
My dogs are barking,(one's) dogs are barking,"One's feet are very sore and tired from physical exertion. ","2023-07-27",
Make it rain,Make it rain,"To throw or drop dollar bills in a show of wealth. ","2023-07-27",
Put your money where your mouth is,Put (one's) money where (one's) mouth is,"To do, live up to, or follow through on something one talks about, threatens, or promises, especially (but not always) when it involves spending money. ","2023-07-27",
Maiden voyage,Maiden voyage,"The first time a vehicle, especially a boat or ship, departs on a journey. ","2023-07-27",
No guts no glory,"No guts, no glory","Success does not come without the courage to take risks. ","2023-07-27",
Flash in the pan,Flash in the pan,"Someone or something whose success or popularity is short-lived. ","2023-07-27",
It’s better to burn out than fade away,,,"2023-07-27",
Left in the lurch,Leave (one) in the lurch,"To leave or abandon one without assistance in a particularly awkward, difficult, or troublesome situation. ","2023-07-27",
High and dry,High and dry,"Literally, dry and unaffected by water, typically flood waters. ","2023-07-27",
Bury the lead,Bury the lead,"In journalism, to open a news article with secondary or superfluous information, thus relegating the central premise (the lead, which usually occupies this position) to a later part. ""Lead"" in this sense is sometimes written as ""lede."" ","2023-07-27",
The sky is the limit,The sky's the limit,"Anything is possible. ","2023-07-27",
A rising tide lifts al boats,,,"2023-07-27",
Served on a silver platter,,,"2023-08-08","Miles"
Fed from a silver spoon,,,"2023-08-08","Miles"
The road paved in gold,,,"2023-08-08",
Pillow talk,Pillow talk,"Intimate conversations between two people in a romantic relationship when they are in bed together. ","2023-08-08",
Get the ball rolling,Get the ball rolling,"To set something, often a process, in motion; to begin. ","2023-08-08",
Long walk off a short pier,,,"2023-08-08",
Bent out of shape,Bent out of shape,"Of a person, upset or angry. ","2023-08-08",
Rule the roost,Rule the roost,"To be the real boss; to be the person in charge. ","2023-08-08",
Leave the table while you still have an appetite,,,"2023-08-08",
Fair weather friend,Fair-weather friend,"Someone who remains a friend only when things are going well but abandons others during times of trouble or difficulty. ","2023-08-08",
Jump the gun,Jump the gun,"To start something before it is permissible, appropriate, or advisable. The phrase alludes to starting to run in a foot race before the starting gun goes off. ","2023-08-08",
Show you the ropes,Show (one) the ropes,"To explain or demonstrate to one how to do or perform a job, task, or activity. ","2023-08-08",
Getting something under your belt,Get (something) under (one's) belt,"To get something to eat or drink. ","2023-08-08",
Shit a brick,Shit a brick,"To be very scared or nervous. The plural (""shit bricks"") is also commonly used.","2023-08-08",
Balls to the wall,Balls to the wall,"With maximum effort, energy, or speed, and without caution or restraint. The phrase most likely originated as an aviation term, referring to the throttle levers of military aircraft (which have a rounded ball on top) being pushed to their maximum limit (i.e., to the bulkhead, or ""wall""). While it does not in fact refer to testicles, it should be used with caution because of this popular association. ","2023-08-09",
Deep dive,Deep dive,"A thorough analysis, perhaps one that seems excessive or unwarranted for a particular topic. ","2023-08-09",
Kick rocks,Kick rocks,"An expression of disdain used to tell someone to go away or quit bothering one. ","2023-08-09",
Takes the cake,Take the cake,"To be the worst in a series of negative actions. Primarily heard in US. ","2023-08-09","Miles"
Wrap it up,Wrap it up,"To get to the point of what one is saying. Often used as an imperative. ","2023-08-09","Miles"
Cut some slack,Cut (one) some slack,"To allow one more latitude or freedom than usual; to be more lenient with one. ","2023-08-09","Miles"
When shit hits the fan,(the) shit hits the fan,"Things have become suddenly very chaotic, disastrous, difficult, or controversial. ","2023-08-09","Miles"
Under the sun,Under the sun,"On earth; in existence. ","2023-08-09","Christina"
Gravy train,The gravy train,"A state, position, or job in which one makes an excessive amount of money without expending much or any effort. ","2023-08-09","Miles"
Hill i’m willing to die on,,,"2023-08-09","Miles"
Let your hair down,Let (one's) hair down,"To cease acting formally or conservatively; to ignore or relinquish one's inhibitions or reservations. Also worded as ""let down (one's) hair."" ","2023-08-09","Christina"
Time to hang up your hat,,,"2023-08-09",
Kick to the curb,Kick (someone or something) to the curb,"To discard, abandon, or dismiss someone or something that has become redundant, obsolete, useless, or unwanted. ","2023-08-09","Christina"
Clean slate,Clean slate,"An opportunity to start fresh despite past mistakes or problems. ","2023-08-09","Christina"
On top of the world,On top of the world,"Elated; blissfully or triumphantly happy. ","2023-08-09","Miles"
Cut me to the quick,Cut (one) to the quick,"To slice a part of the body very deeply. ","2023-08-09","Christina"
Nothing to hang your hat on,,,"2023-08-09",
Pull some strings,Pull (some/a few) strings,"To use the power or influence one has over others, especially people of importance, to get what one wants or to help someone else. ","2023-08-10","Miles"
Shit the bed,Shit the bed,"To fail spectacularly or to a great degree. ","2023-08-10","Christina"
Another notch on your belt,,,"2023-08-11","Miles"
Shits and giggles,Shits and giggles,"Fun or amusement derived without any serious purpose or motivation. ","2023-08-11","Miles"
Neck and neck,Neck and neck,"Extremely close together; at or near an equal level. Usually said of competitors in a race or competition. ","2023-08-11","Miles"
Get this show on the road,Get this show on the road,"To promptly begin or get something started. ","2023-08-11","Miles"
Play it by ear,Play by ear,"To play a piece of music without referencing sheet music or a recording. In this usage, a noun or pronoun can be used between ""play"" and ""by ear."" ","2023-08-11","Miles"
Getting something off your chest,get (something) off (one's) chest,"To reveal or discuss something that has caused one emotional discomfort and that one has repressed, kept hidden, or neglected to discuss earlier.","2023-08-11","Miles"
Staying in your own lane,,,"2023-08-11","Miles"
Put it past someone,,,"2023-08-11","Miles"
Trusting you as far as you can throw them,,,"2023-08-11","Miles"
Closed mouths don’t get fed,,,"2023-08-11","Eve"
Throw me a bone,Throw (one) a bone,"To attempt to appease or placate someone by giving them something trivial or of minor importance or by doing some small favor for them. (A reference to giving a dog a bone or scrap from a bigger portion of food.) ","2023-08-13","Miles"
Not my cup of tea,Cup of tea,"Something one prefers, desires, enjoys, or cares about. Often used in the negative to mean the opposite. ","2023-08-13","Miles"
Spill the tea,Spill the tea,"To share or reveal gossip. ""Tea"" is a slang term for gossip. ","2023-08-13","Christina"
Off the bat,Off the bat,"In a trajectory caused by being hit by a bat. ","2023-08-14",
Pulling a rabbit out of a hat,Pull a rabbit out of a hat,"To do something surprising and seemingly impossible; to produce something in a way that has no obvious explanation, as if done by magic. A reference to the magician's trick of literally pulling a live rabbit out of a hat. ","2023-08-14",
Scratched the surface,Scratch,,"2023-08-14",
Rub off on someone,Rub off,"To come off (of something else) after being rubbed. ","2023-08-14",
Off the deep end,Off the deep end,"Crazy or irrational. ","2023-08-15","Christina"
Toe to toe,Toe-to-toe,"A direct conflict between two people or groups, possibly in close quarters. ","2023-08-15","Christina"
By a hair,By a hair,"By an extremely short or slim margin (of distance, time, or another measure). ","2023-08-15","Miles"
Chip in,Chip in,"To contribute to something being undertaken by a group, such as a task or collection. ","2023-08-15","Christina"
The whole enchilada,The whole enchilada,"Every part of a multifaceted thing or situation taken together as a whole; the whole thing. ","2023-08-15","Christina"
The whole kit and caboodle,The (whole) kit and caboodle,"All the parts of a group of things. ","2023-08-15","Miles"
Flavor of the month,Flavor of the month,"Someone or something very popular but only temporarily or ephemerally. The phrase is often used to describe fleeting romantic relationships. ","2023-08-15","Miles"
Sight for sore eyes,A sight for sore eyes,"Someone or something that one is excited or overjoyed to see, often after a long absence or separation. ","2023-08-15","Miles"
In the pit of your stomach,,,"2023-08-15","Christina"
Lump in your throat,Lump in (one's) throat,"An intense emotional reaction resulting in a sensation of tightness in the throat, as often precedes crying. ","2023-08-15","Miles"
Knock out of the park,Knock (something) out of the (ball)park,"To do or perform something extraordinarily well; to produce or earn an exceptional achievement. An allusion to a baseball that is hit hard enough to land outside the stadium. ","2023-08-15","Miles"
On pins and needles,On pins and needles,"Anxious and tense. (Likely an allusion to the tingling sensation that occurs when blood flow returns to a numb limb.) ","2023-08-15","Christina"
Chicken with its head cut off,Like a chicken with its head cut off,"With great haste and in a careless or senseless manner. ","2023-08-15","Miles"
Over the hill,Over the hill,"Past the peak of one's life or career; too old. Often hyphenated. ","2023-08-15","Miles"
Piece of cake,Piece of cake,"A very easy task or accomplishment. ","2023-08-15","Christina"
Have a cow,Have a cow,"To get very upset about something, often more than is expected or warranted. ","2023-08-15","Christina"
Bum rush,Bum rush,"To attack or barge into a person or place forcefully or violently. ","2023-08-15","Miles"
To die for,To die for,"Extremely attractive, enjoyable, or desirable. ","2023-08-15","Miles"
Blow your cover,Blow (one's) cover,"To expose one's true identity or motives after they had been intentionally concealed (i.e. after one had been ""undercover""). ","2023-08-15","Miles"
Don’t judge a fish by its ability to climb a tree,,,"2023-08-15","Miles"
The devil is in the details,The devil is in the detail(s),"Plans, actions, or situations that seem sound must be carefully examined, because minor details can end up causing major, unforeseen problems. ","2023-08-15","Christina"
Cleanliness is next to godliness,Cleanliness is next to godliness,"A phrase that strongly encourages and promotes neatness and personal hygiene. ","2023-08-15","Christina"
This town ain’t big enough for the two of us,,,"2023-08-15","Miles"
Time for a gun fight,,,"2023-08-15","Christina"
Pop you’re cherry,,,"2023-08-15","Christina"
Get your rocks off,Get (one's) rocks off,,"2023-08-15","Miles"
Rock your socks off,,,"2023-08-15","Christina"
Cool your jets,Cool (one's) jets,"To calm oneself down; to become less agitated. ","2023-08-15","Miles"
Knee jerk reaction,Knee-jerk reaction,"Any spontaneous, reflexive, and unthinking reaction or response. ","2023-08-16",
Ruffle your feathers,Ruffle (one's) feathers,"To annoy, irritate, or upset someone. ","2023-08-16",
Turn over a new leaf,Turn over a new leaf,"To change one's behavior, usually in a positive way. ","2023-08-17","Miles"
Rounding the bend,,,"2023-08-18","Miles"
Par for the course,Par for the course,"Normal, typical, or to be expected (especially when something is a source of annoyance or frustration). An allusion to golf, in which ""par"" is the number of strokes that it should take a player to get the ball into a particular hole on a golf course. ","2023-08-18","Miles"
Up in arms,Up in arms,"Very upset or angry about something. Likened to an armed rebellion, from which the phrase originated. ","2023-08-18","Miles"
With guns blazing,With (one's) guns blazing,"Forcefully and with all of one's energy and a strong sense of urgency or purpose, especially when directed at an argument or problem that has angered or frustrated one. ","2023-08-18","Miles"
Make heads or tails of it,,,"2023-08-18","Miles"
Tits up,Tits up,"mildly vulgar Broken or malfunctioning; dead, falling apart, or ceasing to work. (""Tits up"" is sometimes hyphenated.) ","2023-08-18","Miles"
Sit on it,Sit on it,"An exclamation of frustration directed at another person. Popularized by the TV show ","2023-08-18","Miles"
Sticking your foot in your mouth,,,"2023-08-18","Miles"
Get off on the wrong foot,Get off on the wrong foot,"To have a bad start. Said of something that goes or has gone awry at the very beginning. ","2023-08-18","Miles"
Bright eyed and bushy tailed,Bright-eyed and bushy-tailed,"Energetic and enthusiastic. ","2023-08-18","Ryan"
Squeezing the lemon,,,"2023-08-18","Ryan"
Bleeding the lizard,,,"2023-08-18","Miles"
Choking the chicken,Choke the chicken,"To masturbate. A term only applied to males. ","2023-08-18","Ryan"
Beating the meat,Beat (one's) meat,"To masturbate. A term only applied to males. ","2023-08-18","Ryan"
Flicking the bean,,,"2023-08-18","Miles"
Soften the blow,Soften the blow,"To make the impact of something negative less harmful. ","2023-08-18","Ryan"
Sitting pretty,Sit pretty,"To be or remain in an ideal situation or advantageous position. ","2023-08-18","Ryan"
Tasted grapes,,,"2023-08-18","Ryan"
Cloud 9,Cloud nine," ","2023-08-18","Ryan"
Walking on sunshine,Walk on sunshine,"To be in a state of euphoria. ","2023-08-18","Miles"
Putting in leg work,,,"2023-08-19","Christina"
In the limelight,In the limelight,"At the center of attention. The phrase refers to a type of lamp that was previously used in theatrical stage lighting. ","2023-08-19","Christina"
15 minutes of fame,15 minutes of fame,"A brief period of celebrity or notoriety. The term was coined by artist Andy Warhol. ","2023-08-19","Christina"
Hit the bricks,Hit the bricks,"To depart, often on foot. ","2023-08-19","Christina"
End of the line,The end of the line,"The physical end of a route of travel, usually a bus or train route. ","2023-08-19","Christina"
In the thick of it,In the thick of it,"Very busy; in the middle of or preoccupied with something or several things. ","2023-08-20","Christina"
Run of the mill,Run-of-the-mill,"Common, standard, or average; mediocre. ","2023-08-20","Miles"
Off the cuff,Off the cuff,"Casually and spontaneously; without planning or preparation. Often hyphenated. ","2023-08-20","Miles"
Dark night of the soul,Poem and treatise of st. john of the cross,,"2023-08-20","Eve"
Off the rails,Be off the rails,"To be in a state of chaos, dysfunction, or disorder. ","2023-08-20","Miles"
Living under a rock,Live under a rock,"To be oblivious to or ignorant of something that is very widely known, often related to pop culture. ","2023-08-20","Eve"
True measure of a man,,,"2023-08-20","Eve"
To live in someone’s shadow,,,"2023-08-20","Eve"
To never measure up,,,"2023-08-20","Eve"
Golden goose,Golden goose,"A person, thing, or organization that is or has the potential to earn a lot of money for a long period of time. Taken from a folk tale of a goose that would lay a golden egg once a day, but which was killed by its owner because he wanted all of its gold at once. ","2023-08-20","Miles"
Beyond the pale,Beyond the pale,"Completely unacceptable or inappropriate. A ""pale"" is an area bounded by a fence. ","2023-08-20","Eve"
Revenge is a dish best served cold,Revenge is a dish best served cold.,"Revenge that takes place far in the future, after the offending party has forgotten how they wronged someone, is much more satisfying. ","2023-08-21","Miles"
Fall from grace,Fall from grace,"To fall out of favor, typically due to having done something that tarnishes one's reputation. ","2023-08-22","Eve"
This day in age,,,"2023-08-22","Miles"
Do the honors,Do the honors,"To perform a task or duty of an official nature, often in a social setting. Sometimes used humorously. ","2023-08-22","Miles"
That tracks,,,"2023-08-22","Miles"
Pull the trigger,Pull the trigger (on something),"To make a final decision or commit to a certain course of action (about something). ","2023-08-22","Miles"
In the the chute,,,"2023-08-22","Miles"
